Year,Month,Day,Max Temp,Min Temp,GDD
2002,01,01,8.0,4.0,0
2002,01,02,12.0,6.0,0
2002,01,03,8.0,4.5,0
2002,01,04,7.0,5.0,0
2002,01,05,9.0,5.5,0
2002,01,06,12.5,7.0,0
2002,01,07,12.5,8.5,0.5
2002,01,08,8.5,7.0,0
2002,01,09,8.0,4.5,0
2002,01,10,6.5,3.5,0
2002,01,11,10.0,4.5,0
2002,01,12,9.0,5.5,0
2002,01,13,5.0,0.5,0
2002,01,14,8.5,0.0,0
2002,01,15,4.0,-1.0,0
2002,01,16,5.0,-1.0,0
2002,01,17,1.5,-2.5,0
2002,01,18,1.5,0.5,0
2002,01,19,4.0,0.5,0
2002,01,20,7.0,0.0,0
2002,01,21,4.5,1.5,0
2002,01,22,1.0,0.0,0
2002,01,23,6.5,0.0,0
2002,01,24,7.0,2.0,0
2002,01,25,2.5,-1.5,0
2002,01,26,2.5,-0.5,0
2002,01,27,-0.5,-1.5,0
2002,01,28,0.5,-8.0,0
2002,01,29,-1.0,-3.5,0
2002,01,30,2.0,-1.5,0
2002,01,31,3.0,0.0,0
2002,02,01,3.5,1.5,0
2002,02,02,10.5,1.0,0
2002,02,03,9.0,4.5,0
2002,02,04,8.5,1.5,0
2002,02,05,8.0,3.0,0
2002,02,06,8.0,3.5,0
2002,02,07,7.0,4.0,0
2002,02,08,8.5,3.0,0
2002,02,09,8.5,3.0,0
2002,02,10,8.0,3.0,0
2002,02,11,7.5,-1.0,0
2002,02,12,8.0,-2.0,0
2002,02,13,6.0,1.0,0
2002,02,14,9.5,0.0,0
2002,02,15,13.0,0.0,0
2002,02,16,6.5,1.0,0
2002,02,17,6.5,3.5,0
2002,02,18,8.0,4.5,0
2002,02,19,10.0,6.0,0
2002,02,20,9.5,2.0,0
2002,02,21,9.0,3.0,0
2002,02,22,7.0,6.0,0
2002,02,23,6.0,2.0,0
2002,02,24,6.5,-3.0,0
2002,02,25,5.5,-2.0,0
2002,02,26,7.0,0.0,0
2002,02,27,8.5,-1.5,0
2002,02,28,9.5,-3.0,0
2002,03,01,9.0,-2.0,0
2002,03,02,11.5,-1.0,0
2002,03,03,11.0,-0.5,0
2002,03,04,8.0,1.5,0
2002,03,05,7.0,1.0,0
2002,03,06,4.0,-4.0,0
2002,03,07,-0.5,-6.5,0
2002,03,08,1.0,-6.0,0
2002,03,09,8.0,-1.5,0
2002,03,10,7.0,2.0,0
2002,03,11,12.5,4.0,0
2002,03,12,6.0,4.0,0
2002,03,13,6.5,2.5,0
2002,03,14,7.0,2.5,0
2002,03,15,2.0,-1.0,0
2002,03,16,5.5,-1.0,0
2002,03,17,5.5,-4.0,0
2002,03,18,0.5,-2.5,0
2002,03,19,3.0,-4.5,0
2002,03,20,2.5,-1.0,0
2002,03,21,6.0,-0.5,0
2002,03,22,15.0,1.0,0
2002,03,23,14.5,2.0,0
2002,03,24,13.5,2.5,0
2002,03,25,14.0,5.5,0
2002,03,26,8.0,4.0,0
2002,03,27,7.5,3.5,0
2002,03,28,12.0,3.0,0
2002,03,29,7.0,4.0,0
2002,03,30,10.0,4.5,0
2002,03,31,8.5,5.0,0
2002,04,01,11.5,2.5,0
2002,04,02,12.5,1.5,0
2002,04,03,16.0,4.0,0
2002,04,04,18.0,3.5,0.75
2002,04,05,12.5,6.5,0
2002,04,06,10.5,6.0,0
2002,04,07,11.5,2.5,0
2002,04,08,12.5,2.5,0
2002,04,09,9.0,7.5,0
2002,04,10,14.5,7.5,1.0
2002,04,11,10.5,8.0,0
2002,04,12,12.5,7.5,0
2002,04,13,12.0,9.5,0.75
2002,04,14,7.0,3.0,0
2002,04,15,5.5,1.0,0
2002,04,16,7.0,4.0,0
2002,04,17,13.0,3.0,0
2002,04,18,15.5,2.0,0
2002,04,19,14.0,4.5,0
2002,04,20,12.5,7.0,0
2002,04,21,11.0,7.0,0
2002,04,22,12.0,7.0,0
2002,04,23,14.0,1.0,0
