Year,Month,Day,Max Temp,Min Temp,"['gdd', 10]","['gdd', 11]","['gdd', 12]","['gdd', 13]","['gdd', 14]","['gdd', 15]"
2010,01,01,-3.0,-5.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,02,-4.0,-11.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,03,-4.5,-11.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,04,-5.5,-8.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,05,-5.0,-8.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,06,-4.6,-6.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,07,-5.0,-7.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,08,-6.3,-12.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,09,-11.6,-17.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,10,-4.6,-17.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,11,-3.9,-6.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,12,-6.1,-14.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,13,-7.7,-15.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,14,-0.2,-8.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,15,2.7,-1.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,16,2.2,0.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,17,0.8,-7.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,18,-2.0,-7.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,19,1.0,-3.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,20,0.6,-6.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,21,-4.0,-8.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,22,-1.8,-13.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,23,-2.6,-15.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,24,2.9,-8.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,25,8.4,2.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,26,2.2,0.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,27,0.8,-4.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,28,-3.2,-14.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,29,-13.9,-20.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,30,-14.9,-21.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,01,31,-5.0,-16.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,01,-5.1,-14.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,02,-9.3,-14.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,03,-6.0,-14.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,04,-7.4,-13.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,05,-5.0,-14.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,06,-7.9,-15.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,07,-2.9,-13.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,08,-5.9,-10.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,09,-3.5,-9.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,10,0.2,-7.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,11,-2.7,-9.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,12,-6.8,-13.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,13,-4.8,-9.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,14,-2.5,-5.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,15,-1.1,-6.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,16,-0.3,-5.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,17,-0.2,-3.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,18,1.2,-3.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,19,-0.4,-5.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,20,0.5,-4.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,21,-0.5,-6.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,22,0.8,-7.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,23,2.3,-1.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,24,1.1,0.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,25,2.0,0.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,26,3.8,0.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,27,4.6,0.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,02,28,2.3,0.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,01,6.3,1.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,02,5.5,-2.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,03,4.8,-3.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,04,5.0,-3.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,05,4.7,-4.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,06,7.4,-4.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,07,8.3,-1.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,08,10.2,0.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,09,4.5,-3.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,10,7.0,-5.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,11,8.3,-2.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,12,8.2,-1.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,13,11.0,-0.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,14,5.2,1.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,15,10.9,2.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,16,13.1,-0.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,17,14.4,-0.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,18,14.0,5.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,19,15.7,2.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,20,10.1,0.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,21,2.6,-0.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,22,6.6,0.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,23,4.4,-0.5,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,24,10.3,-0.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,25,13.5,-4.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,26,-2.6,-10.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,27,0.7,-8.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,28,9.1,-3.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,29,5.6,1.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,30,6.5,-0.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,03,31,11.9,3.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,01,13.4,2.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,02,25.6,4.4,5.00,4.00,3.00,2.00,1.00,0.00
2010,04,03,25.7,10.5,8.10,7.10,6.10,5.10,4.10,3.10
2010,04,04,18.5,9.8,4.15,3.15,2.15,1.15,0.15,0.00
2010,04,05,19.5,6.3,2.90,1.90,0.90,0.00,0.00,0.00
2010,04,06,15.3,9.1,2.20,1.20,0.20,0.00,0.00,0.00
2010,04,07,13.1,9.5,1.30,0.30,0.00,0.00,0.00,0.00
2010,04,08,9.5,2.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,09,8.2,3.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,10,11.2,2.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,11,12.6,3.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,12,13.1,0.1,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,13,12.9,1.7,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,14,18.0,1.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,15,11.7,3.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,16,7.2,4.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,17,9.1,2.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,18,9.6,1.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,19,15.6,1.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,20,20.0,6.0,3.00,2.00,1.00,0.00,0.00,0.00
2010,04,21,18.2,7.5,2.85,1.85,0.85,0.00,0.00,0.00
2010,04,22,12.4,5.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,23,15.6,1.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,24,19.1,4.0,1.55,0.55,0.00,0.00,0.00,0.00
2010,04,25,16.5,5.1,0.80,0.00,0.00,0.00,0.00,0.00
2010,04,26,17.8,3.0,0.40,0.00,0.00,0.00,0.00,0.00
2010,04,27,7.5,0.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,28,13.4,0.8,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,29,13.6,5.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,04,30,19.6,4.5,2.05,1.05,0.05,0.00,0.00,0.00
2010,05,01,19.3,9.8,4.55,3.55,2.55,1.55,0.55,0.00
2010,05,02,26.0,10.4,8.20,7.20,6.20,5.20,4.20,3.20
2010,05,03,23.5,14.9,9.20,8.20,7.20,6.20,5.20,4.20
2010,05,04,20.2,9.2,4.70,3.70,2.70,1.70,0.70,0.00
2010,05,05,21.6,9.0,5.30,4.30,3.30,2.30,1.30,0.30
2010,05,06,17.9,7.5,2.70,1.70,0.70,0.00,0.00,0.00
2010,05,07,13.3,5.2,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,08,11.9,3.3,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,09,5.4,1.0,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,10,11.1,-0.4,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,11,15.9,0.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,12,14.9,4.9,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,13,17.5,1.6,0.00,0.00,0.00,0.00,0.00,0.00
2010,05,14,14.8,10.2,2.50,1.50,0.50,0.00,0.00,0.00
2010,05,15,17.4,9.7,3.55,2.55,1.55,0.55,0.00,0.00
2010,05,16,22.5,6.5,4.50,3.50,2.50,1.50,0.50,0.00
2010,05,17,23.5,5.9,4.70,3.70,2.70,1.70,0.70,0.00
2010,05,18,25.8,9.8,7.80,6.80,5.80,4.80,3.80,2.80
2010,05,19,20.9,12.2,6.55,5.55,4.55,3.55,2.55,1.55
2010,05,20,26.0,12.7,9.35,8.35,7.35,6.35,5.35,4.35
2010,05,21,22.2,10.0,6.10,5.10,4.10,3.10,2.10,1.10
2010,05,22,27.4,10.2,8.80,7.80,6.80,5.80,4.80,3.80
2010,05,23,27.8,14.7,11.25,10.25,9.25,8.25,7.25,6.25
2010,05,24,29.4,17.7,13.55,12.55,11.55,10.55,9.55,8.55
2010,05,25,32.0,19.2,14.60,13.60,12.60,11.60,10.60,9.60
2010,05,26,34.7,18.7,14.35,13.35,12.35,11.35,10.35,9.35
2010,05,27,26.1,15.5,10.80,9.80,8.80,7.80,6.80,5.80
2010,05,28,25.8,12.8,9.30,8.30,7.30,6.30,5.30,4.30
2010,05,29,26.2,15.7,10.95,9.95,8.95,7.95,6.95,5.95
2010,05,30,22.0,13.2,7.60,6.60,5.60,4.60,3.60,2.60
2010,05,31,24.7,12.6,8.65,7.65,6.65,5.65,4.65,3.65
2010,06,01,21.5,13.3,7.40,6.40,5.40,4.40,3.40,2.40
2010,06,02,27.1,16.5,11.80,10.80,9.80,8.80,7.80,6.80
2010,06,03,18.6,15.5,7.05,6.05,5.05,4.05,3.05,2.05
2010,06,04,23.5,15.1,9.30,8.30,7.30,6.30,5.30,4.30
2010,06,05,22.1,11.8,6.95,5.95,4.95,3.95,2.95,1.95
2010,06,06,12.5,9.7,1.10,0.10,0.00,0.00,0.00,0.00
2010,06,07,19.5,8.9,4.20,3.20,2.20,1.20,0.20,0.00
2010,06,08,19.9,9.3,4.60,3.60,2.60,1.60,0.60,0.00
2010,06,09,21.9,11.3,6.60,5.60,4.60,3.60,2.60,1.60
2010,06,10,15.6,12.3,3.95,2.95,1.95,0.95,0.00,0.00
2010,06,11,21.0,10.7,5.85,4.85,3.85,2.85,1.85,0.85
2010,06,12,21.4,13.9,7.65,6.65,5.65,4.65,3.65,2.65
2010,06,13,26.1,13.4,9.75,8.75,7.75,6.75,5.75,4.75
2010,06,14,19.6,12.8,6.20,5.20,4.20,3.20,2.20,1.20
2010,06,15,21.4,11.3,6.35,5.35,4.35,3.35,2.35,1.35
2010,06,16,20.7,12.7,6.70,5.70,4.70,3.70,2.70,1.70
2010,06,17,27.4,14.3,10.85,9.85,8.85,7.85,6.85,5.85
2010,06,18,28.1,16.3,12.20,11.20,10.20,9.20,8.20,7.20
2010,06,19,29.5,16.9,13.20,12.20,11.20,10.20,9.20,8.20
2010,06,20,27.7,19.0,13.35,12.35,11.35,10.35,9.35,8.35
2010,06,21,25.4,14.9,10.15,9.15,8.15,7.15,6.15,5.15
2010,06,22,26.1,13.7,9.90,8.90,7.90,6.90,5.90,4.90
2010,06,23,26.8,18.9,12.85,11.85,10.85,9.85,8.85,7.85
2010,06,24,24.1,15.7,9.90,8.90,7.90,6.90,5.90,4.90
2010,06,25,22.3,12.4,7.35,6.35,5.35,4.35,3.35,2.35
2010,06,26,20.6,16.7,8.65,7.65,6.65,5.65,4.65,3.65
2010,06,27,24.8,16.9,10.85,9.85,8.85,7.85,6.85,5.85
2010,06,28,27.6,17.5,12.55,11.55,10.55,9.55,8.55,7.55
2010,06,29,20.7,14.0,7.35,6.35,5.35,4.35,3.35,2.35
2010,06,30,19.3,12.4,5.85,4.85,3.85,2.85,1.85,0.85
2010,07,01,20.4,12.6,6.50,5.50,4.50,3.50,2.50,1.50
2010,07,02,24.9,12.7,8.80,7.80,6.80,5.80,4.80,3.80
2010,07,03,28.8,16.0,12.40,11.40,10.40,9.40,8.40,7.40
2010,07,04,29.6,19.5,14.55,13.55,12.55,11.55,10.55,9.55
