"Year","Month","Day","Max Temp","Min Temp"
2006,01,01,-8.3,-11.2
2006,01,02,-2.8,-8.4
2006,01,03,-6.1,-10.3
2006,01,04,-1.0,-10.5
2006,01,05,-0.5,-3.5
2006,01,06,-2.2,-14.2
2006,01,07,-8.5,-18.0
2006,01,08,-6.1,-11.7
2006,01,09,-0.8,-6.1
2006,01,10,-0.1,-6.9
2006,01,11,1.4,-5.7
2006,01,12,3.6,-0.4
2006,01,13,8.1,-1.0
2006,01,14,6.2,-6.9
2006,01,15,-6.8,-17.4
2006,01,16,-10.3,-18.6
2006,01,17,0.7,-15.5
2006,01,18,5.0,-1.0
2006,01,19,0.8,-1.7
2006,01,20,6.4,-0.8
2006,01,21,3.2,-9.3
2006,01,22,-4.8,-13.6
2006,01,23,-3.1,-9.0
2006,01,24,1.1,-3.3
2006,01,25,1.6,-2.0
2006,01,26,-1.7,-13.8
2006,01,27,0.7,-15.1
2006,01,28,5.9,-2.5
2006,01,29,-0.6,-6.8
2006,01,30,-3.6,-6.3
2006,01,31,0.8,-4.4
2006,02,01,-1.5,-4.9
2006,02,02,3.0,-3.1
2006,02,03,5.3,-1.7
2006,02,04,3.9,1.4
2006,02,05,5.3,-1.6
2006,02,06,-1.5,-8.7
2006,02,07,-6.9,-10.0
2006,02,08,-6.9,-11.3
2006,02,09,-9.4,-15.6
2006,02,10,-11.0,-18.2
2006,02,11,-5.1,-16.8
2006,02,12,-7.6,-14.9
2006,02,13,-2.9,-13.1
2006,02,14,-0.6,-6.0
2006,02,15,6.8,-0.7
2006,02,16,0.5,-9.5
2006,02,17,4.9,-14.5
2006,02,18,-14.5,-18.8
2006,02,19,-5.4,-17.3
2006,02,20,-2.7,-8.7
2006,02,21,-1.5,-5.7
2006,02,22,-0.3,-6.1
2006,02,23,0.8,-4.3
2006,02,24,-0.5,-15.3
2006,02,25,-10.1,-15.0
2006,02,26,-10.5,-17.3
2006,02,27,-11.2,-18.3
2006,02,28,-9.0,-14.8
2006,03,01,-5.6,-17.1
2006,03,02,-2.6,-9.2
2006,03,03,-6.8,-14.4
2006,03,04,0.4,-7.5
2006,03,05,-1.4,-7.4
2006,03,06,-1.6,-8.7
2006,03,07,-2.7,-9.7
2006,03,08,-2.2,-11.2
2006,03,09,3.9,-4.6
2006,03,10,8.8,3.0
2006,03,11,8.9,1.0
2006,03,12,6.2,-0.8
2006,03,13,4.8,1.8
2006,03,14,5.7,-2.4
2006,03,15,-1.7,-5.1
2006,03,16,-0.1,-6.9
2006,03,17,-3.3,-9.0
2006,03,18,-5.9,-9.9
2006,03,19,-2.5,-8.2
2006,03,20,-1.8,-9.5
2006,03,21,0.8,-6.2
2006,03,22,3.3,-2.8
2006,03,23,8.7,-0.5
2006,03,24,7.7,1.2
2006,03,25,10.4,1.5
2006,03,26,9.3,-1.3
2006,03,27,8.1,-4.0
2006,03,28,11.3,-2.5
2006,03,29,12.8,-0.7
2006,03,30,15.4,1.0
2006,03,31,22.0,2.7
2006,04,01,14.3,2.8
2006,04,02,11.1,-1.1
2006,04,03,12.3,3.0
2006,04,04,6.0,-1.8
2006,04,05,3.3,-2.4
2006,04,06,8.3,1.0
2006,04,07,7.0,-1.9
2006,04,08,5.0,-5.5
2006,04,09,9.1,-3.5
2006,04,10,14.9,0.6
2006,04,11,17.4,2.5
2006,04,12,21.5,7.3
2006,04,13,14.6,2.8
2006,04,14,16.4,-0.9
2006,04,15,15.6,4.2
2006,04,16,12.8,4.1
2006,04,17,13.0,5.3
2006,04,18,20.0,3.5
2006,04,19,24.0,4.9
2006,04,20,21.1,4.4
2006,04,21,19.4,5.4
2006,04,22,14.9,5.3
2006,04,23,7.9,5.0
2006,04,24,10.0,6.0
2006,04,25,9.0,0.9
2006,04,26,11.2,0.6
2006,04,27,9.2,-1.6
2006,04,28,12.8,-2.6
2006,04,29,16.2,1.7
2006,04,30,21.5,2.6
2006,05,01,22.8,8.0
2006,05,02,15.0,8.2
2006,05,03,12.8,8.8
2006,05,04,24.0,5.4
2006,05,05,19.9,9.3
2006,05,06,12.8,1.2
2006,05,07,13.6,-0.2
2006,05,08,21.8,4.5
2006,05,09,23.0,10.6
2006,05,10,20.0,11.8
2006,05,11,23.8,11.4
2006,05,12,18.4,13.6
2006,05,13,13.6,10.5
2006,05,14,21.2,10.6
2006,05,15,19.6,10.9
2006,05,16,16.8,11.3
2006,05,17,14.7,11.6
2006,05,18,16.6,9.8
2006,05,19,11.8,9.0
2006,05,20,11.3,7.8
2006,05,21,13.5,7.6
2006,05,22,9.9,4.5
2006,05,23,15.6,6.0
2006,05,24,20.0,7.0
2006,05,25,25.6,8.8
2006,05,26,22.4,15.3
2006,05,27,22.5,14.7
2006,05,28,27.1,12.7
2006,05,29,28.1,18.2
2006,05,30,25.9,17.3
2006,05,31,30.8,16.3
2006,06,01,22.4,12.9
2006,06,02,25.4,10.5
2006,06,03,17.5,13.6
2006,06,04,20.4,12.0
2006,06,05,24.9,8.9
2006,06,06,27.7,14.0
2006,06,07,26.5,15.3
2006,06,08,17.5,12.1
2006,06,09,16.6,12.0
2006,06,10,13.8,8.9
2006,06,11,20.0,8.8
2006,06,12,21.1,13.7
2006,06,13,23.2,13.8
2006,06,14,24.7,14.4
2006,06,15,25.0,11.1
2006,06,16,29.1,15.2
2006,06,17,25.5,17.5
2006,06,18,32.4,18.6
2006,06,19,28.1,18.9
2006,06,20,23.5,13.1
2006,06,21,24.2,10.7
2006,06,22,27.6,18.4
2006,06,23,22.9,16.4
2006,06,24,24.8,13.4
2006,06,25,27.7,13.5
2006,06,26,23.5,20.0
2006,06,27,27.9,20.2
