"Year","Month","Day","Max Temp","Min Temp"
2010,01,01,-19.9,-37.2
2010,01,02,-13.8,-20.0
2010,01,03,-13.1,-15.9
2010,01,04,-12.0,-22.3
2010,01,05,-11.8,-14.4
2010,01,06,-14.3,-32.5
2010,01,07,-28.2,-37.3
2010,01,08,-21.9,-31.3
2010,01,09,-7.4,-22.8
2010,01,10,-6.6,-15.3
2010,01,11,-0.7,-15.2
2010,01,12,4.3,-5.8
2010,01,13,1.6,-11.6
2010,01,14,-4.4,-14.1
2010,01,15,1.8,-8.8
2010,01,16,4.1,-4.0
2010,01,17,-3.8,-16.7
2010,01,18,-3.9,-12.5
2010,01,19,-6.0,-10.3
2010,01,20,-2.6,-9.6
2010,01,21,-2.6,-6.2
2010,01,22,-2.8,-4.8
2010,01,23,-2.5,-6.1
2010,01,24,-5.4,-11.4
2010,01,25,-11.2,-16.4
2010,01,26,-15.1,-21.2
2010,01,27,-18.4,-25.8
2010,01,28,-19.2,-30.8
2010,01,29,-17.0,-23.0
2010,01,30,-13.6,-21.5
2010,01,31,-13.5,-17.6
2010,02,01,-16.2,-20.1
2010,02,02,-12.3,-18.7
2010,02,03,-8.2,-17.7
2010,02,04,-10.1,-12.8
2010,02,05,-7.1,-12.1
2010,02,06,-6.6,-15.2
2010,02,07,-6.9,-26.0
2010,02,08,-19.8,-31.0
2010,02,09,-15.6,-24.9
2010,02,10,-13.5,-20.9
2010,02,11,-6.3,-15.1
2010,02,12,-7.7,-16.2
2010,02,13,-14.1,-25.4
2010,02,14,-14.9,-27.6
2010,02,15,-13.5,-24.5
2010,02,16,-6.0,-23.5
2010,02,17,-6.8,-9.5
2010,02,18,-6.4,-21.0
2010,02,19,-6.9,-8.6
2010,02,20,-6.8,-10.8
2010,02,21,-12.8,-21.5
2010,02,22,-7.4,-19.6
2010,02,23,-11.8,-23.3
2010,02,24,-8.4,-19.1
2010,02,25,-7.9,-16.2
2010,02,26,-7.0,-20.8
2010,02,27,-6.5,-16.0
2010,02,28,-6.4,-13.4
2010,03,01,-4.7,-9.0
2010,03,02,-6.0,-11.6
2010,03,03,-5.4,-11.1
2010,03,04,-2.4,-9.2
2010,03,05,-2.1,-10.0
2010,03,06,-2.4,-13.2
2010,03,07,0.1,-11.2
2010,03,08,0.1,-0.8
2010,03,09,-0.5,-2.7
2010,03,10,-0.4,-2.0
2010,03,11,0.8,-5.9
2010,03,12,1.7,-8.5
2010,03,13,2.7,-5.4
2010,03,14,1.3,-8.6
2010,03,15,1.6,-12.8
2010,03,16,3.6,-5.3
2010,03,17,8.9,-1.1
2010,03,18,2.3,-5.7
2010,03,19,-3.2,-9.4
2010,03,20,4.6,-10.4
2010,03,21,5.6,-3.2
2010,03,22,1.4,-1.7
2010,03,23,2.7,-6.1
2010,03,24,0.4,-11.7
2010,03,25,-2.2,-12.7
2010,03,26,0.9,-4.9
2010,03,27,5.1,-2.1
2010,03,28,11.8,-3.0
2010,03,29,15.3,1.4
2010,03,30,13.5,2.0
2010,03,31,12.4,-0.8
2010,04,01,12.5,-2.8
2010,04,02,11.9,-2.2
2010,04,03,13.2,-3.4
2010,04,04,12.5,-1.3
2010,04,05,13.7,-3.1
2010,04,06,13.9,-4.7
2010,04,07,15.7,-1.5
2010,04,08,18.5,-2.1
2010,04,09,8.2,-2.3
2010,04,10,8.3,-5.9
2010,04,11,6.9,-8.9
2010,04,12,7.2,1.2
2010,04,13,9.8,3.7
2010,04,14,8.5,2.4
2010,04,15,12.2,-0.2
2010,04,16,16.3,-3.9
2010,04,17,21.0,0.1
2010,04,18,21.7,2.2
2010,04,19,21.8,5.4
2010,04,20,21.9,4.2
2010,04,21,20.0,2.1
2010,04,22,22.0,0.2
2010,04,23,14.4,-0.3
2010,04,24,19.4,-1.3
2010,04,25,7.2,0.5
2010,04,26,4.8,-0.9
2010,04,27,15.9,-7.0
2010,04,28,19.7,7.2
2010,04,29,15.9,4.5
2010,04,30,9.6,0.5
2010,05,01,2.4,0.0
2010,05,02,6.5,-0.1
2010,05,03,16.7,-1.6
2010,05,04,11.3,0.0
2010,05,05,4.7,-0.9
2010,05,06,3.6,-0.9
2010,05,07,9.1,-2.0
2010,05,08,12.2,-5.1
2010,05,09,12.4,-1.9
2010,05,10,11.9,1.9
2010,05,11,13.1,-2.1
2010,05,12,16.3,-0.9
2010,05,13,20.6,0.2
2010,05,14,23.1,3.9
2010,05,15,25.2,4.7
2010,05,16,26.0,5.7
2010,05,17,28.7,8.6
2010,05,18,29.0,10.1
2010,05,19,28.9,11.1
2010,05,20,26.4,10.3
2010,05,21,19.2,4.5
2010,05,22,15.6,5.4
2010,05,23,13.3,2.4
2010,05,24,18.1,2.3
2010,05,25,9.0,4.4
2010,05,26,16.4,3.1
2010,05,27,8.6,6.6
2010,05,28,11.2,6.1
2010,05,29,10.3,5.5
2010,05,30,11.8,2.4
2010,05,31,12.8,3.1
2010,06,01,16.3,-0.2
2010,06,02,21.0,2.7
2010,06,03,18.9,10.7
2010,06,04,21.2,10.4
2010,06,05,22.2,8.9
2010,06,06,23.1,5.8
2010,06,07,17.4,8.3
2010,06,08,15.7,7.5
2010,06,09,17.4,4.8
2010,06,10,15.8,10.2
2010,06,11,12.1,9.4
2010,06,12,17.0,8.8
2010,06,13,21.4,4.8
2010,06,14,24.2,8.1
2010,06,15,25.8,8.6
2010,06,16,22.6,11.2
2010,06,17,22.9,14.6
2010,06,18,21.3,12.8
2010,06,19,22.1,12.0
2010,06,20,24.5,9.5
2010,06,21,24.3,13.2
2010,06,22,22.3,11.1
2010,06,23,24.6,10.7
2010,06,24,27.0,14.9
2010,06,25,27.9,14.4
2010,06,26,25.0,12.4
2010,06,27,22.9,9.8
2010,06,28,25.0,11.3
2010,06,29,27.4,13.9
2010,06,30,30.9,17.7
2010,07,01,30.6,15.1
2010,07,02,31.0,15.2
2010,07,03,22.7,10.9
2010,07,04,25.0,7.5
2010,07,05,19.6,11.2
2010,07,06,20.9,11.2
2010,07,07,23.7,8.9
2010,07,08,23.9,9.4
2010,07,09,28.9,11.0
2010,07,10,22.3,10.5
2010,07,11,21.5,8.1
2010,07,12,25.8,10.0
2010,07,13,20.7,11.4
2010,07,14,19.9,10.1
2010,07,15,25.5,12.8
2010,07,16,28.4,9.8
2010,07,17,23.3,11.3
2010,07,18,23.5,8.1
2010,07,19,23.3,7.3
2010,07,20,22.6,11.6
2010,07,21,23.7,7.9
2010,07,22,24.5,11.6
2010,07,23,19.0,11.4
2010,07,24,25.3,8.0
2010,07,25,28.9,13.4
2010,07,26,27.5,14.1
2010,07,27,21.2,10.5
2010,07,28,24.9,6.9
2010,07,29,28.0,16.1
2010,07,30,28.4,14.2
2010,07,31,29.7,15.6
2010,08,01,25.4,14.5
2010,08,02,25.8,12.0
2010,08,03,24.4,11.5
2010,08,04,23.1,10.1
2010,08,05,24.4,7.5
2010,08,06,28.8,9.6
2010,08,07,30.1,14.1
2010,08,08,30.7,10.4
2010,08,09,27.1,12.3
2010,08,10,25.7,15.2
2010,08,11,25.8,13.8
2010,08,12,25.9,13.5
2010,08,13,20.2,12.1
2010,08,14,19.6,12.1
2010,08,15,20.9,9.2
2010,08,16,19.9,5.8
2010,08,17,16.7,9.4
2010,08,18,19.8,6.9
2010,08,19,28.7,10.5
2010,08,20,22.8,12.8
2010,08,21,31.4,8.6
2010,08,22,26.7,15.9
2010,08,23,16.6,11.2
2010,08,24,20.4,7.8
2010,08,25,24.8,5.7
2010,08,26,32.8,8.6
2010,08,27,23.6,7.9
2010,08,28,23.7,5.8
2010,08,29,16.0,9.9
2010,08,30,13.7,8.7
2010,08,31,17.6,9.3
2010,09,01,18.9,6.9
2010,09,02,17.8,8.6
2010,09,03,21.4,2.4
2010,09,04,24.7,8.8
2010,09,05,20.4,12.0
2010,09,06,13.7,9.8
2010,09,07,19.3,7.5
2010,09,08,18.4,7.5
2010,09,09,13.8,9.7
2010,09,10,14.2,9.3
2010,09,11,18.2,6.6
2010,09,12,18.4,6.6
2010,09,13,11.7,7.9
2010,09,14,10.8,7.1
2010,09,15,11.4,7.1
2010,09,16,12.0,3.8
2010,09,17,8.6,-1.6
2010,09,18,12.6,-5.0
2010,09,19,12.6,0.4
2010,09,20,10.9,6.2
2010,09,21,7.8,4.3
2010,09,22,8.6,4.1
2010,09,23,10.1,5.8
2010,09,24,19.5,4.3
2010,09,25,23.4,0.4
2010,09,26,28.7,9.1
2010,09,27,21.8,5.7
2010,09,28,26.2,9.6
2010,09,29,19.9,3.7
2010,09,30,22.9,1.1
2010,10,01,16.0,1.9
2010,10,02,17.8,2.4
2010,10,03,25.9,4.4
2010,10,04,26.1,7.9
2010,10,05,16.7,1.6
2010,10,06,21.6,0.2
2010,10,07,25.8,4.7
2010,10,08,24.9,6.9
2010,10,09,21.2,3.8
2010,10,10,24.2,4.9
2010,10,11,15.4,6.9
2010,10,12,14.6,-0.3
2010,10,13,17.0,-2.6
2010,10,14,18.3,-1.6
2010,10,15,20.9,2.7
2010,10,16,10.6,-2.8
2010,10,17,10.9,-6.8
2010,10,18,13.2,-5.4
2010,10,19,16.3,-1.9
2010,10,20,11.4,-0.3
2010,10,21,19.3,-2.2
2010,10,22,14.5,-3.7
2010,10,23,11.5,1.4
2010,10,24,11.6,2.8
2010,10,25,8.3,1.1
2010,10,26,1.3,-1.8
2010,10,27,-1.7,-9.5
2010,10,28,-3.9,-14.6
2010,10,29,1.4,-7.0
2010,10,30,2.3,-8.1
2010,10,31,3.2,-2.5
2010,11,01,11.4,-3.0
2010,11,02,12.4,1.5
2010,11,03,10.0,-4.6
2010,11,04,10.0,-7.2
2010,11,05,14.2,-2.3
2010,11,06,11.7,-1.8
2010,11,07,18.7,-0.2
2010,11,08,12.3,2.4
2010,11,09,3.7,-0.4
2010,11,10,-0.3,-2.7
2010,11,11,1.3,-7.7
2010,11,12,-3.1,-12.9
2010,11,13,-3.0,-14.3
2010,11,14,0.0,-9.8
2010,11,15,1.0,-3.9
2010,11,16,0.5,-7.9
2010,11,17,-7.7,-11.8
2010,11,18,-6.1,-14.2
2010,11,19,-14.1,-24.9
2010,11,20,-14.9,-27.2
2010,11,21,-14.7,-28.1
2010,11,22,-17.8,-27.5
2010,11,23,-16.0,-26.2
2010,11,24,-15.8,-19.3
2010,11,25,-1.9,-26.9
2010,11,26,-2.6,-13.9
2010,11,27,-3.8,-14.2
2010,11,28,-3.3,-9.2
2010,11,29,-4.2,-8.5
2010,11,30,-7.2,-16.9
2010,12,01,-9.0,-15.5
2010,12,02,-10.3,-13.2
2010,12,03,-8.1,-16.4
2010,12,04,-7.3,-18.8
2010,12,05,-14.6,-21.2
2010,12,06,-14.6,-21.5
2010,12,07,-14.6,-23.8
2010,12,08,-7.4,-20.6
2010,12,09,-2.3,-13.3
2010,12,10,-13.1,-20.5
2010,12,11,-18.4,-23.6
2010,12,12,-16.7,-21.9
2010,12,13,-10.8,-16.8
2010,12,14,-6.4,-10.9
2010,12,15,-4.5,-13.6
2010,12,16,-8.1,-16.3
2010,12,17,-12.5,-16.5
2010,12,18,-12.5,-15.3
2010,12,19,-11.1,-19.3
2010,12,20,-12.2,-22.7
2010,12,21,-14.2,-19.0
2010,12,22,-14.0,-19.5
2010,12,23,-8.4,-16.0
2010,12,24,-8.1,-9.6
2010,12,25,-8.3,-12.6
2010,12,26,-7.5,-12.8
2010,12,27,-1.6,-13.5
2010,12,28,-5.8,-14.1
2010,12,29,-12.5,-20.2
2010,12,30,-19.8,-27.1
2010,12,31,-20.1,-27.8
2011,01,01,-17.4,-29.5
2011,01,02,-13.6,-17.7
2011,01,03,-16.3,-24.9
2011,01,04,-5.0,-16.5
2011,01,05,-0.4,-9.6
2011,01,06,-2.6,-10.8
2011,01,07,-2.1,-14.9
2011,01,08,-11.8,-15.3
