"Year","Month","Day","Max Temp","Min Temp"
2002,01,01,-16.7,-24.9
2002,01,02,-10.9,-21.4
2002,01,03,-9.3,-20.4
2002,01,04,1.1,-12.9
2002,01,05,-1.3,-12.1
2002,01,06,1.6,-10.1
2002,01,07,4.4,-7.8
2002,01,08,5.8,-2.0
2002,01,09,0.8,-8.0
2002,01,10,1.4,-9.3
2002,01,11,1.4,-8.7
2002,01,12,-0.9,-11.5
2002,01,13,0.7,-6.2
2002,01,14,-6.2,-13.2
2002,01,15,-7.9,-13.6
2002,01,16,-9.6,-18.2
2002,01,17,-16.1,-25.3
2002,01,18,-5.5,-16.8
2002,01,19,-8.3,-16.3
2002,01,20,-11.8,-20.3
2002,01,21,-20.2,-27.5
2002,01,22,-22.5,-31.5
2002,01,23,-21.2,-30.4
2002,01,24,-14.5,-22.7
2002,01,25,-16.7,-21.8
2002,01,26,-20.0,-26.1
2002,01,27,-22.5,-33.7
2002,01,28,-21.3,-34.6
2002,01,29,-19.5,-31.6
2002,01,30,-17.2,-34.0
2002,01,31,-18.8,-31.4
2002,02,01,-9.2,-22.5
2002,02,02,-8.3,-21.3
2002,02,03,-4.4,-9.9
2002,02,04,-2.6,-14.3
2002,02,05,2.0,-10.3
2002,02,06,2.5,-8.5
2002,02,07,-4.0,-16.0
2002,02,08,-9.8,-18.3
2002,02,09,-4.9,-21.0
2002,02,10,2.7,-15.0
2002,02,11,1.7,-3.0
2002,02,12,0.2,-11.1
2002,02,13,1.1,-8.2
2002,02,14,1.6,-10.9
2002,02,15,4.4,-6.4
2002,02,16,7.4,-9.1
2002,02,17,6.5,-3.6
2002,02,18,-0.1,-10.8
2002,02,19,-1.5,-5.5
2002,02,20,1.6,-10.9
2002,02,21,3.4,-13.1
2002,02,22,0.1,-9.1
2002,02,23,-9.2,-22.9
2002,02,24,-15.9,-24.0
2002,02,25,-15.5,-24.3
2002,02,26,-4.8,-25.2
2002,02,27,-8.1,-18.9
2002,02,28,-16.2,-28.8
2002,03,01,-14.8,-29.9
2002,03,02,-12.6,-28.2
2002,03,03,0.0,-22.9
2002,03,04,-2.8,-19.1
2002,03,05,-16.7,-24.8
2002,03,06,-14.9,-29.9
2002,03,07,-13.5,-22.8
2002,03,08,-13.2,-28.6
2002,03,09,-11.9,-30.8
2002,03,10,-13.2,-25.8
