"Year","Month","Day","Max Temp","Min Temp"
2006,01,01,2.1,-4.7
2006,01,02,2.9,0.7
2006,01,03,3.1,1.6
2006,01,04,5.6,1.8
2006,01,05,5.4,-2.4
2006,01,06,-2.4,-8.2
2006,01,07,1.0,-4.7
2006,01,08,3.2,-2.0
2006,01,09,3.7,1.8
2006,01,10,4.2,1.3
2006,01,11,8.9,2.5
2006,01,12,8.8,4.5
2006,01,13,11.0,6.3
2006,01,14,8.6,-7.6
2006,01,15,-7.2,-11.8
2006,01,16,-3.0,-12.4
2006,01,17,5.2,-3.8
2006,01,18,5.8,-1.9
2006,01,19,4.8,-2.1
2006,01,20,12.0,1.5
2006,01,21,2.2,-1.5
2006,01,22,2.6,-2.7
2006,01,23,5.1,-0.9
2006,01,24,4.8,-1.1
2006,01,25,2.9,-8.0
2006,01,26,-4.1,-11.8
2006,01,27,5.0,-7.1
2006,01,28,9.9,3.1
2006,01,29,7.3,3.2
2006,01,30,8.4,3.6
2006,01,31,3.6,0.3
2006,02,01,4.1,-1.1
2006,02,02,7.9,2.9
2006,02,03,5.7,3.5
2006,02,04,4.4,1.5
2006,02,05,3.7,-3.7
2006,02,06,-0.8,-4.4
2006,02,07,-0.3,-4.3
2006,02,08,-4.2,-8.7
2006,02,09,-3.8,-8.7
2006,02,10,-2.6,-8.6
2006,02,11,-1.5,-7.4
2006,02,12,-3.5,-9.9
2006,02,13,-1.3,-4.6
2006,02,14,4.0,-3.0
2006,02,15,7.6,0.6
2006,02,16,3.8,-1.8
2006,02,17,8.4,-6.4
2006,02,18,-6.4,-13.1
2006,02,19,-6.2,-11.7
2006,02,20,-1.9,-9.0
2006,02,21,2.8,-3.0
2006,02,22,5.8,-2.0
2006,02,23,6.1,-3.6
2006,02,24,-0.3,-6.6
2006,02,25,2.6,-7.7
2006,02,26,-5.7,-12.5
2006,02,27,-2.4,-10.8
2006,02,28,-3.9,-10.6
2006,03,01,0.2,-8.0
2006,03,02,-1.1,-7.2
2006,03,03,-3.0,-9.4
2006,03,04,3.1,-5.1
2006,03,05,4.5,-3.3
2006,03,06,2.0,-3.7
2006,03,07,2.5,-4.7
2006,03,08,4.1,-1.6
2006,03,09,10.8,3.5
2006,03,10,11.3,3.6
2006,03,11,10.2,1.1
2006,03,12,16.3,4.7
2006,03,13,12.2,3.5
2006,03,14,6.8,-0.5
2006,03,15,4.0,-0.7
2006,03,16,4.7,-2.5
2006,03,17,1.5,-6.2
2006,03,18,0.3,-5.9
2006,03,19,2.9,-2.2
2006,03,20,-0.5,-5.4
2006,03,21,1.9,-6.2
2006,03,22,2.8,-2.3
2006,03,23,4.0,0.3
2006,03,24,6.1,0.3
2006,03,25,4.4,1.6
2006,03,26,8.3,2.0
2006,03,27,11.2,1.1
2006,03,28,10.4,2.5
2006,03,29,12.9,2.9
2006,03,30,15.8,4.0
2006,03,31,16.2,6.5
2006,04,01,12.5,4.2
2006,04,02,8.3,1.9
2006,04,03,12.9,3.6
2006,04,04,6.7,-2.3
2006,04,05,5.0,-2.4
2006,04,06,12.1,2.5
2006,04,07,8.2,0.8
2006,04,08,5.0,-3.1
2006,04,09,8.6,-0.6
2006,04,10,14.1,3.3
2006,04,11,15.4,6.4
2006,04,12,15.7,9.6
2006,04,13,19.8,9.1
2006,04,14,12.3,7.1
2006,04,15,16.1,7.3
2006,04,16,12.6,5.7
2006,04,17,11.7,6.1
2006,04,18,14.4,9.2
2006,04,19,18.1,11.8
2006,04,20,20.0,12.8
2006,04,21,19.8,11.4
2006,04,22,12.1,6.3
2006,04,23,7.2,5.0
2006,04,24,14.5,5.0
2006,04,25,11.4,2.7
2006,04,26,17.6,1.2
2006,04,27,11.7,5.4
2006,04,28,10.3,3.9
2006,04,29,14.4,5.4
2006,04,30,18.0,9.5
2006,05,01,21.2,10.6
2006,05,02,17.4,12.1
2006,05,03,21.4,10.0
2006,05,04,23.8,11.8
2006,05,05,17.3,8.1
2006,05,06,13.2,4.8
2006,05,07,13.5,3.9
2006,05,08,21.7,6.5
2006,05,09,21.9,9.3
2006,05,10,22.9,13.0
2006,05,11,15.9,10.9
2006,05,12,16.9,10.1
2006,05,13,17.3,10.3
2006,05,14,16.1,10.6
2006,05,15,15.1,10.7
2006,05,16,15.9,10.0
2006,05,17,21.2,10.2
2006,05,18,15.4,8.6
2006,05,19,14.9,6.4
2006,05,20,15.8,8.4
2006,05,21,14.0,5.9
2006,05,22,11.1,4.7
2006,05,23,18.4,5.4
2006,05,24,21.0,7.3
2006,05,25,20.6,12.5
2006,05,26,19.6,14.3
2006,05,27,24.9,14.8
2006,05,28,24.9,14.7
2006,05,29,31.9,17.4
2006,05,30,32.5,22.1
2006,05,31,28.9,21.2
2006,06,01,22.5,17.4
2006,06,02,22.6,16.2
2006,06,03,17.6,13.9
2006,06,04,22.4,14.5
2006,06,05,26.9,13.4
2006,06,06,24.0,16.1
2006,06,07,27.2,15.8
2006,06,08,22.9,17.6
2006,06,09,19.8,11.3
2006,06,10,15.5,9.4
2006,06,11,18.8,9.0
2006,06,12,20.3,12.8
2006,06,13,21.2,12.9
2006,06,14,22.7,14.6
2006,06,15,25.4,14.8
2006,06,16,26.7,14.1
2006,06,17,31.7,19.5
2006,06,18,30.5,19.5
2006,06,19,25.9,19.5
2006,06,20,22.9,15.1
2006,06,21,22.6,12.6
2006,06,22,31.5,19.1
2006,06,23,23.6,18.1
2006,06,24,24.9,16.2
2006,06,25,26.1,17.5
2006,06,26,23.7,19.6
2006,06,27,24.0,19.3
2006,06,28,26.9,18.2
2006,06,29,24.0,15.8
2006,06,30,26.1,15.0
2006,07,01,27.4,17.7
2006,07,02,31.4,20.6
2006,07,03,28.3,19.9
2006,07,04,28.8,17.1
2006,07,05,22.5,14.7
2006,07,06,24.2,13.3
2006,07,07,26.9,14.5
2006,07,08,27.1,16.5
2006,07,09,28.4,17.0
2006,07,10,22.8,17.9
2006,07,11,25.8,17.0
2006,07,12,23.1,19.2
2006,07,13,28.1,18.8
2006,07,14,30.2,20.3
2006,07,15,31.8,22.2
2006,07,16,32.7,20.9
2006,07,17,33.1,22.5
2006,07,18,28.5,20.7
2006,07,19,26.1,20.1
2006,07,20,27.6,20.6
2006,07,21,26.3,20.9
2006,07,22,22.2,16.8
2006,07,23,24.2,15.6
2006,07,24,27.6,14.8
2006,07,25,29.3,22.0
2006,07,26,29.9,22.1
2006,07,27,29.6,21.3
2006,07,28,28.0,20.0
2006,07,29,32.3,21.7
2006,07,30,26.0,20.6
2006,07,31,31.5,21.7
2006,08,01,36.8,24.6
2006,08,02,32.3,22.7
2006,08,03,24.3,20.9
2006,08,04,29.9,18.7
2006,08,05,26.2,18.1
2006,08,06,27.0,20.2
2006,08,07,30.4,20.0
2006,08,08,25.8,17.9
2006,08,09,26.2,14.9
2006,08,10,25.8,17.5
2006,08,11,22.1,13.2
2006,08,12,23.2,14.7
2006,08,13,25.8,14.3
2006,08,14,24.6,15.5
2006,08,15,26.1,16.0
2006,08,16,25.5,16.5
2006,08,17,26.9,17.7
2006,08,18,29.7,20.2
2006,08,19,24.8,20.7
2006,08,20,21.6,17.7
2006,08,21,26.8,14.2
2006,08,22,28.9,17.4
2006,08,23,26.1,15.9
2006,08,24,21.8,16.2
2006,08,25,19.8,15.4
2006,08,26,21.3,14.7
2006,08,27,26.6,20.0
2006,08,28,23.9,18.0
2006,08,29,24.3,17.6
2006,08,30,21.7,15.4
2006,08,31,20.7,12.6
2006,09,01,22.1,15.4
2006,09,02,19.5,13.5
2006,09,03,17.9,12.9
2006,09,04,20.3,13.1
2006,09,05,19.3,16.2
2006,09,06,23.3,15.6
2006,09,07,23.6,17.3
2006,09,08,26.9,15.8
2006,09,09,18.6,11.6
2006,09,10,17.4,9.5
2006,09,11,18.0,10.9
2006,09,12,17.5,15.5
2006,09,13,19.9,15.5
2006,09,14,18.8,16.5
2006,09,15,20.9,16.3
2006,09,16,21.4,16.7
2006,09,17,23.8,16.4
2006,09,18,25.3,14.6
2006,09,19,19.8,13.4
2006,09,20,15.2,9.6
2006,09,21,18.3,7.8
2006,09,22,17.5,9.2
2006,09,23,24.3,16.8
2006,09,24,20.4,11.0
2006,09,25,17.9,9.4
2006,09,26,18.3,9.3
2006,09,27,22.0,10.5
2006,09,28,14.6,7.9
2006,09,29,13.2,6.2
2006,09,30,15.8,9.3
2006,10,01,17.7,8.4
2006,10,02,18.4,7.9
2006,10,03,23.8,13.7
2006,10,04,19.0,8.4
2006,10,05,13.8,6.0
2006,10,06,13.8,5.1
2006,10,07,16.3,7.0
2006,10,08,19.6,7.4
2006,10,09,20.9,11.3
2006,10,10,14.3,10.9
2006,10,11,18.1,11.0
2006,10,12,11.1,1.8
2006,10,13,7.4,1.6
2006,10,14,9.3,5.0
2006,10,15,11.5,4.3
2006,10,16,14.5,4.4
2006,10,17,14.4,9.5
2006,10,18,15.8,12.6
2006,10,19,14.7,6.9
2006,10,20,9.1,5.7
2006,10,21,11.2,5.5
2006,10,22,10.5,6.1
2006,10,23,8.7,2.9
2006,10,24,8.3,3.0
2006,10,25,9.1,3.2
2006,10,26,8.3,1.4
2006,10,27,6.5,3.0
2006,10,28,8.0,3.8
2006,10,29,8.3,3.1
