"Year","Month","Day","Max Temp","Min Temp"
2010,01,01,9.6,5.8
2010,01,02,8.6,6.2
2010,01,03,8.8,6.0
2010,01,04,6.8,5.6
2010,01,05,9.0,4.4
2010,01,06,8.1,1.0
2010,01,07,6.3,0.9
2010,01,08,7.8,4.2
2010,01,09,10.4,7.5
2010,01,10,11.5,7.9
2010,01,11,11.9,8.9
2010,01,12,11.7,9.3
2010,01,13,9.5,8.1
2010,01,14,9.1,7.0
2010,01,15,10.0,5.5
2010,01,16,9.4,2.5
2010,01,17,10.4,6.1
2010,01,18,11.5,6.6
2010,01,19,14.5,5.5
2010,01,20,10.8,7.1
2010,01,21,11.1,6.3
2010,01,22,11.2,4.3
2010,01,23,8.5,4.6
2010,01,24,9.5,5.4
2010,01,25,8.8,6.0
2010,01,26,10.5,5.1
2010,01,27,9.2,4.7
2010,01,28,10.0,7.0
2010,01,29,11.3,6.7
2010,01,30,8.8,7.4
2010,01,31,8.6,7.2
2010,02,01,8.3,6.5
2010,02,02,8.2,5.6
2010,02,03,8.9,4.7
2010,02,04,12.5,7.1
2010,02,05,12.4,7.6
2010,02,06,10.7,4.4
2010,02,07,8.6,6.7
2010,02,08,10.9,5.0
2010,02,09,9.6,3.2
2010,02,10,8.4,5.1
2010,02,11,10.8,5.9
2010,02,12,11.5,7.8
2010,02,13,10.4,7.8
2010,02,14,12.9,6.7
2010,02,15,10.0,4.6
2010,02,16,12.6,6.2
2010,02,17,9.8,2.7
2010,02,18,10.5,2.4
2010,02,19,11.9,2.8
2010,02,20,11.7,3.9
2010,02,21,11.4,3.3
2010,02,22,13.0,2.8
2010,02,23,9.7,6.2
2010,02,24,7.1,5.2
2010,02,25,11.6,6.7
2010,02,26,11.2,7.5
2010,02,27,9.2,7.7
2010,02,28,11.5,8.1
2010,03,01,11.9,5.9
2010,03,02,13.7,8.2
2010,03,03,10.5,6.6
2010,03,04,12.3,6.0
2010,03,05,11.9,6.0
2010,03,06,12.1,3.1
2010,03,07,8.5,4.7
2010,03,08,8.8,2.5
2010,03,09,7.8,2.5
2010,03,10,10.3,3.7
2010,03,11,9.1,2.3
2010,03,12,9.8,3.6
2010,03,13,9.4,4.7
2010,03,14,9.1,5.2
2010,03,15,12.9,5.8
2010,03,16,14.3,8.8
2010,03,17,11.4,6.1
2010,03,18,9.8,1.9
2010,03,19,12.1,1.9
2010,03,20,15.2,3.7
2010,03,21,12.3,7.2
2010,03,22,,6.1
2010,03,23,12.9,7.4
2010,03,24,14.3,4.4
2010,03,25,9.7,7.8
2010,03,26,13.3,7.0
2010,03,27,13.8,6.9
2010,03,28,14.2,7.9
2010,03,29,9.6,5.8
2010,03,30,10.9,5.7
2010,03,31,,5.7
2010,04,01,10.3,4.9
2010,04,02,9.2,5.2
2010,04,03,11.0,2.9
2010,04,04,13.0,2.9
2010,04,05,11.2,5.3
2010,04,06,9.4,5.1
2010,04,07,8.7,5.5
2010,04,08,10.3,3.7
2010,04,09,9.1,2.4
2010,04,10,13.9,1.3
2010,04,11,13.6,4.8
2010,04,12,13.1,6.3
2010,04,13,12.6,7.9
2010,04,14,14.8,8.6
2010,04,15,17.7,7.8
2010,04,16,15.5,6.4
2010,04,17,12.9,9.8
2010,04,18,19.6,10.0
2010,04,19,19.6,8.8
2010,04,20,14.0,10.4
2010,04,21,12.2,7.7
2010,04,22,16.0,7.0
2010,04,23,12.7,6.7
2010,04,24,11.7,5.5
2010,04,25,14.4,7.1
2010,04,26,17.8,8.0
2010,04,27,15.6,9.1
2010,04,28,14.6,8.0
2010,04,29,15.0,6.5
2010,04,30,14.9,6.8
2010,05,01,14.5,7.0
2010,05,02,12.4,6.3
2010,05,03,13.6,6.4
2010,05,04,13.0,3.9
2010,05,05,14.0,4.3
2010,05,06,15.0,7.1
2010,05,07,16.7,6.1
2010,05,08,,5.9
2010,05,09,19.0,
2010,05,10,,9.7
2010,05,11,18.2,8.3
2010,05,12,17.9,10.2
2010,05,13,,
2010,05,14,21.7,9.2
2010,05,15,21.5,10.2
2010,05,16,19.6,11.1
2010,05,17,20.5,10.5
2010,05,18,16.3,11.7
2010,05,19,21.0,11.6
2010,05,20,15.0,9.5
2010,05,21,13.7,8.2
2010,05,22,14.6,8.0
2010,05,23,13.8,9.4
2010,05,24,17.4,10.0
2010,05,25,17.0,11.6
2010,05,26,13.9,11.0
2010,05,27,16.0,10.3
2010,05,28,15.5,11.1
2010,05,29,11.7,
2010,05,30,16.7,9.6
2010,05,31,17.5,10.9
2010,06,01,17.9,10.9
2010,06,02,17.5,11.4
2010,06,03,16.8,9.1
2010,06,04,,
2010,06,05,,
2010,06,06,,11.6
2010,06,07,,
2010,06,08,,
2010,06,09,,11.4
2010,06,10,,12.3
2010,06,11,,12.6
2010,06,12,21.1,11.5
2010,06,13,,
2010,06,14,,
2010,06,15,,
2010,06,16,,
2010,06,17,14.7,12.6
2010,06,18,18.5,12.0
2010,06,19,,
2010,06,20,,13.9
2010,06,21,16.3,12.8
2010,06,22,20.6,13.6
2010,06,23,,
2010,06,24,23.8,15.5
2010,06,25,20.8,14.2
2010,06,26,19.2,13.2
2010,06,27,,
2010,06,28,16.9,13.4
2010,06,29,18.0,10.4
2010,06,30,18.3,12.2
2010,07,01,15.8,12.1
2010,07,02,20.4,10.4
2010,07,03,,13.1
2010,07,04,,13.1
2010,07,05,20.3,12.9
2010,07,06,22.2,12.3
2010,07,07,29.6,14.3
2010,07,08,,17.3
2010,07,09,,17.0
2010,07,10,25.8,
2010,07,11,25.1,16.7
2010,07,12,21.3,13.4
2010,07,13,20.5,12.2
2010,07,14,23.6,12.3
2010,07,15,23.9,13.3
2010,07,16,21.7,14.7
2010,07,17,21.9,13.2
2010,07,18,22.1,13.9
2010,07,19,21.2,14.1
2010,07,20,23.4,15.4
2010,07,21,24.6,15.1
2010,07,22,22.9,16.0
2010,07,23,22.3,14.5
2010,07,24,23.8,15.0
2010,07,25,22.0,14.2
2010,07,26,24.8,14.0
2010,07,27,27.7,15.2
2010,07,28,25.7,15.9
2010,07,29,22.7,15.8
2010,07,30,23.2,15.3
2010,07,31,23.7,15.5
2010,08,01,22.0,15.1
2010,08,02,23.7,14.6
2010,08,03,25.1,15.4
2010,08,04,26.8,16.3
2010,08,05,26.8,19.7
2010,08,06,23.3,16.5
2010,08,07,18.3,15.5
2010,08,08,18.3,15.7
2010,08,09,20.5,15.2
2010,08,10,21.4,15.0
2010,08,11,22.8,14.5
2010,08,12,22.6,14.2
2010,08,13,26.8,14.9
2010,08,14,29.9,15.6
2010,08,15,31.2,16.1
2010,08,16,29.8,16.9
2010,08,17,27.5,16.3
2010,08,18,21.1,15.3
2010,08,19,18.9,14.3
2010,08,20,21.5,12.6
2010,08,21,22.8,13.0
2010,08,22,21.8,15.5
2010,08,23,21.7,14.4
2010,08,24,24.5,13.4
2010,08,25,26.7,14.4
2010,08,26,21.2,14.6
2010,08,27,20.4,12.3
2010,08,28,19.9,10.5
2010,08,29,18.6,10.6
2010,08,30,20.4,11.0
2010,08,31,15.6,11.8
2010,09,01,19.9,13.1
2010,09,02,19.7,10.4
2010,09,03,25.2,13.0
2010,09,04,19.8,14.3
2010,09,05,18.9,11.3
2010,09,06,14.2,11.1
2010,09,07,17.8,11.8
2010,09,08,21.1,11.3
2010,09,09,20.1,11.8
2010,09,10,18.0,13.5
2010,09,11,17.5,11.4
2010,09,12,14.0,11.8
2010,09,13,18.7,13.1
2010,09,14,19.6,12.2
2010,09,15,19.4,12.9
2010,09,16,20.8,13.7
2010,09,17,19.3,14.3
2010,09,18,20.7,14.2
2010,09,19,19.3,14.2
2010,09,20,17.5,13.0
2010,09,21,17.5,11.6
2010,09,22,18.1,9.0
2010,09,23,13.3,12.1
2010,09,24,15.0,12.5
2010,09,25,22.8,13.7
2010,09,26,16.9,14.3
2010,09,27,17.9,14.3
2010,09,28,20.2,13.7
2010,09,29,17.2,10.4
2010,09,30,19.3,10.1
2010,10,01,23.0,10.9
2010,10,02,18.8,12.7
2010,10,03,14.3,12.0
2010,10,04,14.4,9.8
2010,10,05,15.1,7.7
2010,10,06,17.8,8.9
2010,10,07,15.6,10.4
2010,10,08,15.2,12.4
2010,10,09,15.3,12.7
2010,10,10,16.8,10.5
2010,10,11,13.3,9.2
2010,10,12,15.2,10.2
2010,10,13,16.1,7.6
2010,10,14,12.6,10.1
2010,10,15,,6.6
2010,10,16,11.7,5.1
2010,10,17,12.1,4.2
2010,10,18,11.6,8.5
2010,10,19,16.7,10.1
2010,10,20,15.6,7.5
2010,10,21,16.9,7.6
2010,10,22,13.8,11.2
2010,10,23,13.6,10.6
2010,10,24,12.4,9.4
2010,10,25,11.2,9.0
2010,10,26,9.7,7.8
2010,10,27,15.0,8.5
2010,10,28,10.9,8.8
2010,10,29,11.5,9.5
2010,10,30,14.4,9.3
2010,10,31,12.8,7.6
2010,11,01,13.1,8.9
2010,11,02,15.1,8.5
2010,11,03,15.4,7.0
2010,11,04,13.4,7.1
2010,11,05,12.0,7.8
2010,11,06,11.1,5.2
2010,11,07,14.1,7.4
2010,11,08,9.9,6.1
2010,11,09,8.3,6.1
2010,11,10,10.6,4.3
2010,11,11,8.8,5.5
2010,11,12,9.8,5.1
2010,11,13,8.3,5.9
2010,11,14,8.9,6.8
2010,11,15,11.4,8.3
2010,11,16,10.8,7.6
2010,11,17,10.5,5.9
2010,11,18,6.4,2.7
2010,11,19,5.1,1.7
2010,11,20,3.8,0.5
2010,11,21,2.1,-1.2
2010,11,22,-0.9,-4.7
2010,11,23,-2.4,-6.3
2010,11,24,-1.2,-5.1
2010,11,25,5.9,-2.2
2010,11,26,6.6,4.5
2010,11,27,6.7,2.9
2010,11,28,4.9,2.3
2010,11,29,5.4,3.2
2010,11,30,6.7,4.7
2010,12,01,8.0,4.1
2010,12,02,6.7,4.4
2010,12,03,6.7,1.6
2010,12,04,8.0,-0.7
2010,12,05,5.4,-0.1
2010,12,06,9.2,2.6
2010,12,07,10.5,8.6
2010,12,08,10.2,7.3
2010,12,09,8.5,5.7
2010,12,10,8.8,5.1
2010,12,11,7.8,6.0
2010,12,12,9.3,6.0
2010,12,13,8.8,6.7
2010,12,14,10.3,2.5
2010,12,15,6.5,5.0
2010,12,16,7.2,4.7
2010,12,17,8.5,4.3
2010,12,18,6.8,0.5
2010,12,19,6.7,1.2
2010,12,20,7.9,2.5
2010,12,21,9.5,5.6
2010,12,22,9.5,7.0
2010,12,23,9.5,5.0
2010,12,24,11.2,7.5
2010,12,25,10.0,7.8
2010,12,26,9.2,5.6
2010,12,27,6.2,4.3
2010,12,28,6.2,1.7
2010,12,29,6.0,0.7
2010,12,30,3.5,-1.3
2010,12,31,2.4,-2.6
2011,01,01,3.3,-6.4
2011,01,02,3.4,-6.0
2011,01,03,4.3,-4.9
2011,01,04,3.1,-2.1
2011,01,05,5.7,1.4
2011,01,06,6.8,4.7
2011,01,07,9.7,4.4
2011,01,08,5.4,0.5
2011,01,09,4.3,-3.2
2011,01,10,2.1,-4.3
2011,01,11,1.7,-3.2
2011,01,12,7.6,-0.5
2011,01,13,11.6,3.3
2011,01,14,12.5,7.8
2011,01,15,11.0,7.2
2011,01,16,14.0,6.9
2011,01,17,11.1,4.9
2011,01,18,5.5,0.8
2011,01,19,6.0,-2.4
2011,01,20,3.6,1.1
2011,01,21,6.8,3.4
2011,01,22,7.3,3.1
2011,01,23,8.1,5.0
2011,01,24,8.0,5.8
2011,01,25,8.8,6.8
2011,01,26,12.4,5.1
2011,01,27,7.6,2.6
2011,01,28,7.9,1.3
2011,01,29,7.7,4.0
2011,01,30,5.6,-1.4
2011,01,31,3.7,-2.5
2011,02,01,4.5,-3.7
2011,02,02,5.5,-2.3
2011,02,03,6.7,3.7
2011,02,04,13.4,6.1
2011,02,05,8.4,5.1
2011,02,06,8.7,4.8
2011,02,07,8.8,4.4
2011,02,08,6.2,1.2
2011,02,09,5.0,-0.2
2011,02,10,5.7,-1.6
2011,02,11,5.9,1.2
2011,02,12,8.4,5.4
2011,02,13,8.6,4.5
2011,02,14,9.5,5.2
2011,02,15,9.5,3.7
2011,02,16,7.3,3.4
2011,02,17,5.5,-0.4
2011,02,18,10.6,1.7
2011,02,19,5.5,-2.9
2011,02,20,5.7,-3.9
2011,02,21,5.1,-1.0
2011,02,22,6.2,-0.3
2011,02,23,3.4,-1.8
2011,02,24,2.6,-3.7
2011,02,25,-0.7,-8.1
2011,02,26,-1.4,-5.6
2011,02,27,4.7,-1.6
2011,02,28,7.0,1.9
2011,03,01,6.6,0.4
2011,03,02,9.8,2.7
2011,03,03,8.4,0.9
2011,03,04,6.1,0.5
2011,03,05,9.4,1.7
2011,03,06,7.4,1.8
2011,03,07,7.2,-0.2
2011,03,08,5.9,2.4
2011,03,09,13.0,4.1
2011,03,10,11.6,5.9
2011,03,11,7.4,4.8
2011,03,12,8.5,5.8
2011,03,13,10.3,5.8
2011,03,14,11.3,5.8
2011,03,15,10.6,6.1
2011,03,16,10.2,5.3
2011,03,17,10.5,1.3
2011,03,18,11.2,3.0
2011,03,19,10.8,3.0
2011,03,20,8.7,-0.5
2011,03,21,8.0,5.7
2011,03,22,11.0,3.7
2011,03,23,11.3,1.4
2011,03,24,12.4,4.5
2011,03,25,9.6,4.2
2011,03,26,13.6,2.8
2011,03,27,12.4,6.1
2011,03,28,11.5,4.8
2011,03,29,10.6,6.1
2011,03,30,13.6,2.2
2011,03,31,13.5,8.8
2011,04,01,9.8,6.0
2011,04,02,10.9,5.1
2011,04,03,9.1,4.0
2011,04,04,6.0,3.5
2011,04,05,9.8,3.9
2011,04,06,9.5,4.4
2011,04,07,10.2,2.2
2011,04,08,10.6,2.1
2011,04,09,11.6,6.3
2011,04,10,10.4,7.0
2011,04,11,10.7,6.5
2011,04,12,10.6,2.2
2011,04,13,9.2,5.8
2011,04,14,7.4,2.2
2011,04,15,10.9,-0.2
2011,04,16,9.3,4.0
2011,04,17,10.5,2.3
2011,04,18,11.0,2.2
2011,04,19,11.3,3.5
2011,04,20,9.2,2.5
2011,04,21,11.4,4.6
2011,04,22,11.2,2.6
2011,04,23,14.6,1.7
2011,04,24,10.7,5.5
2011,04,25,8.6,5.8
2011,04,26,13.7,7.2
2011,04,27,10.7,5.4
2011,04,28,11.3,4.5
2011,04,29,12.2,4.2
2011,04,30,12.6,6.5
2011,05,01,15.3,4.3
2011,05,02,11.6,7.4
2011,05,03,13.3,2.0
2011,05,04,16.2,5.1
2011,05,05,13.3,8.4
2011,05,06,11.5,8.2
2011,05,07,11.9,7.1
2011,05,08,12.4,6.2
2011,05,09,15.0,9.7
2011,05,10,14.3,8.6
2011,05,11,11.8,8.4
2011,05,12,14.6,3.3
2011,05,13,14.8,3.6
2011,05,14,15.0,10.7
2011,05,15,13.2,9.5
2011,05,16,14.0,8.5
2011,05,17,13.0,5.7
2011,05,18,15.9,4.4
2011,05,19,16.3,6.8
2011,05,20,18.9,8.0
2011,05,21,13.7,10.3
2011,05,22,16.5,9.4
2011,05,23,15.6,7.2
2011,05,24,16.9,8.4
2011,05,25,14.5,9.7
2011,05,26,14.2,9.6
2011,05,27,15.3,9.2
2011,05,28,14.7,8.5
2011,05,29,18.2,8.7
2011,05,30,16.4,11.2
2011,05,31,17.7,8.0
2011,06,01,17.5,9.4
2011,06,02,13.1,10.6
2011,06,03,16.9,10.6
2011,06,04,19.0,9.0
2011,06,05,19.7,10.8
2011,06,06,20.6,12.3
2011,06,07,16.9,11.9
2011,06,08,18.9,10.0
2011,06,09,18.6,12.3
2011,06,10,18.6,12.0
2011,06,11,17.4,11.8
2011,06,12,19.9,10.8
2011,06,13,20.0,12.4
2011,06,14,16.8,11.8
2011,06,15,17.1,11.0
2011,06,16,18.9,8.8
2011,06,17,20.2,11.8
2011,06,18,17.9,11.7
2011,06,19,17.1,12.4
2011,06,20,20.6,12.8
2011,06,21,22.1,13.2
2011,06,22,21.1,12.3
2011,06,23,18.9,11.3
2011,06,24,17.2,10.7
2011,06,25,17.8,11.8
2011,06,26,19.0,10.4
2011,06,27,19.9,15.4
2011,06,28,21.4,15.1
2011,06,29,20.2,14.6
2011,06,30,18.9,13.1
2011,07,01,18.9,10.6
2011,07,02,25.8,10.3
2011,07,03,20.7,13.8
2011,07,04,22.4,11.8
2011,07,05,23.3,11.9
2011,07,06,25.5,12.8
2011,07,07,19.0,14.4
2011,07,08,17.9,13.0
2011,07,09,19.8,9.5
2011,07,10,21.3,12.6
2011,07,11,21.6,12.5
2011,07,12,20.0,14.8
2011,07,13,19.7,14.2
2011,07,14,18.8,13.5
2011,07,15,20.9,14.7
2011,07,16,18.8,14.4
2011,07,17,18.6,14.6
2011,07,18,20.3,14.8
2011,07,19,21.8,13.2
2011,07,20,20.6,17.1
2011,07,21,19.5,13.3
2011,07,22,20.5,11.4
2011,07,23,21.2,10.2
2011,07,24,24.1,12.9
2011,07,25,20.6,15.0
2011,07,26,20.0,13.6
2011,07,27,21.0,13.5
2011,07,28,24.2,12.6
2011,07,29,22.5,14.7
2011,07,30,25.3,13.6
2011,07,31,21.4,15.0
2011,08,01,22.7,12.3
2011,08,02,24.6,14.3
2011,08,03,23.2,14.5
2011,08,04,24.6,14.1
2011,08,05,22.5,14.1
2011,08,06,20.7,15.8
2011,08,07,22.4,12.5
2011,08,08,22.8,13.0
2011,08,09,21.1,13.8
2011,08,10,19.4,14.2
2011,08,11,23.1,14.7
2011,08,12,22.2,15.2
2011,08,13,21.1,13.9
2011,08,14,20.6,14.4
2011,08,15,20.7,12.8
2011,08,16,21.9,12.0
